site,status,health,root_stone,latitude,longitude,,
Front,Alive,Good,Yes,40.72433932,-73.80518011,,
Adjacent,Alive,Good,No,40.75662595,-73.89416679,,
Front,Alive,Good,No,40.67977677,-73.78846289,,
Front,Alive,Good,No,40.62274274,-74.0375434,,
Front,Alive,Good,No,40.5965141,-73.79762248,,
Front,Alive,Good,No,40.8268873,-73.94988854,,
Front,Alive,Fair,No,40.67134672,-73.89761379,,
Side,Alive,Good,No,40.63777439,-73.99869226,,
Front,Alive,Good,No,40.69666784,-73.85308695,,
Front,Alive,Good,No,40.80896707,-73.88264729,,
Adjacent,Alive,Good,No,40.68998752,-73.82894773,,
Front,Alive,Good,No,40.56123548,-74.14756926,,
Front,Alive,Good,No,40.75050267,-74.0012648,,
Front,Alive,Good,No,40.55740036,-74.1719325,,
Adjacent,Dead,Dead,No,40.69965527,-73.92605343,,
Front,Alive,Good,No,40.67021579,-73.78613754,,
Adjacent,Dead,Dead,No,40.84822096,-73.78696339,,
Side,Alive,Good,No,40.6180494,-73.93600187,,
Side,Alive,Fair,Yes,40.60772576,-74.07015896,,
Front,Alive,Fair,No,40.69432132,-73.98886257,,
Front,Alive,Good,No,40.67733712,-73.90859701,,
Front,Alive,Good,No,40.70100375,-73.73601616,,
Front,Alive,Good,Yes,40.63774884,-74.03195145,,
Front,Alive,Good,No,40.72127573,-73.98270648,,
Front,Alive,Good,No,40.75234919,-73.88674383,,
Adjacent,Alive,Poor,No,40.71171787,-73.78516724,,
Front,Alive,Good,No,40.60445166,-74.13293832,,
Front,Alive,Good,No,40.83946991,-73.82599455,,
Front,Alive,Good,No,40.61303154,-74.15656359,,
Side,Alive,Good,No,40.55005927,-74.21117589,,
Front,Alive,Good,No,40.72785135,-73.82307036,,
Side,Alive,Good,No,40.69389519,-73.96905151,,
Front,Alive,Good,No,40.68898199,-73.82157444,,
Front,Alive,Fair,No,40.69647164,-73.73428663,,
Front,Alive,Good,No,40.80390017,-73.96691108,,
Median,Alive,Good,No,40.72244096,-73.86301576,,
Side,Alive,Good,No,40.53042064,-74.16793584,,
