tree_id,site,status,health,root_stone,latitude,longitude
606945,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
160321,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
541347,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
613930,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
18353,Front,Alive,Good,No,<40.63000,>-73.89000
21173,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
544698,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
546240,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
646348,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
413812,Front,Alive,Good,No,>40.76000,>-73.89000
643898,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
51527,Front,Alive,Good,No,<40.63000,<-74.07000
111516,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
316742,Front,Alive,Good,No,<40.63000,<-74.07000
428425,Nearby,Dead,Dead,No,40.63000...40.76000,-74.07000...-73.89000
581674,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
341736,Nearby,Dead,Dead,No,>40.76000,>-73.89000
545989,Side,Alive,Good,No,<40.63000,-74.07000...-73.89000
386593,Side,Alive,Fair,Yes,<40.63000,<-74.07000
10288,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
710291,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
608354,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
365941,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
365757,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
78058,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
655310,Nearby,Alive,Poor,No,40.63000...40.76000,>-73.89000
658091,Front,Alive,Good,No,<40.63000,<-74.07000
235893,Front,Alive,Good,No,>40.76000,>-73.89000
497126,Front,Alive,Good,No,<40.63000,<-74.07000
314098,Side,Alive,Good,No,<40.63000,<-74.07000
679996,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
363526,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
640705,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
421793,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
142361,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
167750,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
516670,Side,Alive,Good,No,<40.63000,<-74.07000
308062,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
149949,Front,Alive,Poor,No,40.63000...40.76000,-74.07000...-73.89000
263907,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
555711,Nearby,Alive,Fair,No,>40.76000,-74.07000...-73.89000
246605,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
284553,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
495957,Front,Alive,Good,No,<40.63000,<-74.07000
42659,Front,Alive,Good,No,<40.63000,<-74.07000
468628,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
244333,Nearby,Alive,Fair,Yes,40.63000...40.76000,>-73.89000
222783,Nearby,Alive,Fair,Yes,40.63000...40.76000,>-73.89000
479427,Front,Alive,Good,No,<40.63000,>-73.89000
332416,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
211906,Nearby,Stump,Dead,No,>40.76000,-74.07000...-73.89000
492967,Front,Alive,Good,No,<40.63000,<-74.07000
682922,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
140851,Front,Alive,Poor,No,40.63000...40.76000,-74.07000...-73.89000
549446,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
392586,Nearby,Alive,Fair,No,>40.76000,>-73.89000
174662,Side,Stump,Dead,No,40.63000...40.76000,-74.07000...-73.89000
518176,Nearby,Alive,Good,No,>40.76000,>-73.89000
626661,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
126784,Front,Alive,Good,No,>40.76000,>-73.89000
170032,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
56023,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
250862,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
101366,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
675128,Front,Alive,Poor,No,40.63000...40.76000,-74.07000...-73.89000
557243,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
119577,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
64844,Front,Alive,Fair,No,<40.63000,-74.07000...-73.89000
346274,Front,Alive,Fair,No,>40.76000,>-73.89000
467576,Front,Alive,Good,Yes,>40.76000,>-73.89000
290612,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
334630,Front,Alive,Good,No,<40.63000,<-74.07000
696421,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
591865,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
554791,Front,Alive,Good,No,<40.63000,<-74.07000
470185,Front,Dead,Dead,No,>40.76000,-74.07000...-73.89000
171876,Front,Alive,Poor,No,>40.76000,-74.07000...-73.89000
671163,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
428925,Front,Dead,Dead,No,>40.76000,>-73.89000
482943,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
627685,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
399249,Front,Alive,Fair,No,>40.76000,>-73.89000
601065,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
429970,Front,Alive,Good,No,<40.63000,<-74.07000
694769,Front,Alive,Good,No,>40.76000,>-73.89000
667692,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
534609,Side,Alive,Good,No,<40.63000,<-74.07000
428857,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
221756,Front,Stump,Dead,No,40.63000...40.76000,-74.07000...-73.89000
398805,Front,Alive,Good,No,>40.76000,>-73.89000
159417,Front,Alive,Good,No,>40.76000,>-73.89000
165284,Side,Alive,Fair,No,40.63000...40.76000,>-73.89000
292021,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
345077,Side,Alive,Good,No,>40.76000,>-73.89000
476398,Nearby,Alive,Poor,No,40.63000...40.76000,>-73.89000
540363,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
54395,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
181191,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
59318,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
421530,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
645078,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
693195,Front,Alive,Good,No,>40.76000,>-73.89000
700632,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
446786,Side,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
604234,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
275844,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
